category,num_businesses,aunt,bff,boo,boss,boyfriend,brother,child,classmate,client,cousin,coworker,date,daughter,father,fiancee,friend,girlfriend,grandchild,grandfather,grandmother,grandparents,housemate,husband,mother,neighbor,nephew,niece,parent,partner,professor,relationship,siblings,sister,son,spouse,teacher,uncle,wife,family,romantic,friendship,professional
active,2134,13,8,2,16,327,99,388,8,17,58,44,13,412,108,63,675,165,15,9,19,3,38,553,183,28,52,54,63,67,0,10,8,162,424,7,22,5,428,976,961,704,103
arts,1485,24,12,3,12,328,112,280,5,15,58,48,33,313,113,86,647,178,10,19,33,14,18,508,216,18,39,63,90,52,1,3,4,174,267,8,8,11,362,769,778,654,82
beautysvc,4224,55,29,5,40,578,117,227,7,68,132,116,6,888,131,104,1583,302,4,11,60,6,86,1026,965,29,25,81,59,93,4,11,3,640,471,17,7,6,563,2150,1722,1617,224
food,3508,51,10,7,47,670,177,410,4,28,99,184,35,532,224,153,1085,302,3,23,71,13,78,1102,496,49,34,66,155,123,2,7,8,350,450,18,1,13,775,1530,1689,1129,241
hotelstravel,1723,31,12,6,47,370,129,324,1,35,74,137,15,434,209,96,590,217,6,17,39,10,39,785,352,83,24,37,157,83,0,4,4,246,359,24,0,14,627,1008,1099,633,193
nightlife,1176,11,13,1,21,348,101,74,5,12,72,76,57,114,79,78,724,215,1,9,20,8,39,444,111,22,8,12,60,69,0,1,2,146,92,8,2,12,322,464,712,730,100
restaurants,15360,623,191,176,589,6564,2315,3375,63,296,1326,2747,1543,4633,2935,2282,8706,4344,28,220,956,241,976,8560,4562,418,417,568,2172,2319,13,44,79,3344,4247,383,20,323,7408,9377,11118,8861,3138
shopping,7105,71,26,6,55,781,231,523,6,71,100,101,13,1098,454,321,1633,439,11,52,167,30,80,1784,1088,82,58,112,261,135,5,14,5,552,845,29,8,32,1363,3150,3094,1735,233
